Samples,204252_at,211803_at,211804_s_at
GSM786491,10.42162365,2.231162366,4.049267546
GSM786492,8.682569607000001,2.231162366,3.965095385
GSM786493,9.494766224,2.231162366,3.6163931380000003
GSM786494,9.245340932000001,2.231162366,3.598729465
GSM786495,9.342821909,2.231162366,4.305143564
GSM786496,9.4360831,2.231162366,3.544249297
GSM786497,8.696003487999999,2.231162366,3.732452025
GSM786498,9.062339152,2.231162366,5.458276081
GSM786499,9.544268185,2.231162366,3.819632701
GSM786500,9.279805574,2.231162366,4.663453002
GSM786501,9.631403654,2.231162366,4.242140118
GSM786502,10.18388689,2.231162366,7.302291735
GSM786503,8.985244176,2.231162366,2.461583335
GSM786504,9.238429119,2.231162366,3.809988184
GSM786505,9.924374398,2.231162366,3.9425461060000004
GSM786506,9.919063833,2.231162366,4.446937183999999
GSM786507,9.46818076,2.231162366,3.7936680939999996
GSM786508,9.629173257,2.231162366,5.356074832
GSM786509,9.580094806,2.231162366,3.92162661
GSM786510,8.808238746,2.231162366,3.809988184
GSM786511,9.361904787,2.231162366,5.339848002
GSM786512,10.34906756,2.231162366,6.742963177000001
GSM786513,8.484401307999999,2.231162366,3.809988184
GSM786514,9.366872731,2.231162366,3.92162661
GSM786515,9.270792598,2.231162366,3.809988184
GSM786516,8.31773385,2.231162366,3.610266114
GSM786517,10.14064406,2.231162366,5.929915762
GSM786518,9.009737804,2.231162366,4.027439967
GSM786519,9.64866418,2.231162366,4.183180903
GSM786520,9.724022816,2.231162366,3.809988184
GSM786521,9.967908072,2.231162366,5.637874939
GSM786522,9.777797055,2.231162366,3.92162661
GSM786523,7.984254268,2.231162366,3.809988184
GSM786524,9.726961133,2.231162366,3.92162661
GSM786525,9.333222624,2.231162366,3.243990976
GSM786526,8.835131953,2.231162366,3.927231892
GSM786527,9.541694347,2.231162366,4.710006483
GSM786528,9.261635598,2.231162366,3.809988184
GSM786529,8.908640528,2.231162366,3.8579560969999998
GSM786530,7.308261221,2.231162366,3.809988184
GSM786531,8.894584567,2.231162366,3.809988184
GSM786532,10.23622862,2.231162366,5.455866787000001
GSM786533,8.180683067999999,2.231162366,3.92162661
GSM786534,9.61393174,2.231162366,3.92162661
GSM786535,9.37923912,2.231162366,3.92162661
GSM786536,8.306047376,2.231162366,2.618742427
GSM786537,8.946284689,2.231162366,4.5144560469999995
GSM786538,9.243804967,2.231162366,3.92162661
GSM786539,9.02521499,2.231162366,5.438796227999999
GSM786540,10.30727896,2.231162366,4.290558391999999
GSM786541,6.853927237000001,2.231162366,3.809988184
GSM786542,8.665140697,2.231162366,3.809988184
GSM786543,7.785449475,2.231162366,3.2211246489999996
GSM786544,8.785779658,2.231162366,3.809988184
GSM786545,7.709972337999999,2.231162366,3.809988184
GSM786546,8.656627287000001,2.231162366,3.809988184
GSM786547,9.176606897000001,2.231162366,3.599596501
GSM786548,10.02951181,2.231162366,3.92162661
GSM786549,8.774554596,2.231162366,3.809988184
GSM786550,9.000232551,2.231162366,3.92162661
GSM786551,8.89627345,2.231162366,3.691894304
GSM786552,8.556110772,2.231162366,3.809988184
GSM786553,9.730572001,2.231162366,3.9713775860000005
GSM786554,8.741631121000001,2.231162366,3.92162661
GSM786555,8.806000146,2.231162366,3.809988184
GSM786556,7.737444094,2.231162366,3.809988184
GSM786557,9.457022803,2.231162366,5.487234885
GSM786558,8.760169201,2.231162366,3.826879235
GSM786559,9.068970339,2.231162366,3.919721467
GSM786560,9.179375783,2.231162366,3.92162661
GSM786561,9.454903837,2.231162366,5.400461222000001
GSM786562,10.34203887,2.231162366,6.275096
GSM786563,11.10869957,2.231162366,5.184204423
GSM786564,11.52658046,2.231162366,6.77379618
GSM786565,9.43650464,2.231162366,3.809988184
GSM786566,9.470983653,2.231162366,3.92162661
GSM786567,9.396363477000001,2.231162366,5.773181721
GSM786568,9.948964219,2.231162366,4.890020278
GSM786569,11.04683759,2.231162366,8.322781508
GSM786570,9.275370468,2.231162366,5.3025147939999995
GSM786571,12.23037427,2.231162366,6.192137053
GSM786572,10.93877481,2.231162366,4.287347129
GSM786573,8.942127361,2.231162366,3.92162661
GSM786574,10.60114426,2.231162366,5.160779228
GSM786575,10.67370945,2.231162366,5.800432627
GSM786576,8.937734519,2.231162366,3.81127388
GSM786577,9.166815043,2.231162366,3.809988184
GSM786578,10.60861357,2.231162366,3.92162661
GSM786579,10.481537199999998,2.231162366,4.567116283
GSM786580,11.09605753,2.231162366,7.723750867000001
GSM786581,9.581153322999999,2.231162366,3.809988184
GSM786582,10.22576315,2.234481362,4.031529312
GSM786583,9.502794712,2.231162366,3.809988184
